3600.00,2475.00,-68.69,61.00
1202.00,662.00,-75.57,41.00
3072.00,730.00,-70.30,68.00
3600.00,2655.00,-65.08,44.00
2025.00,495.00,-76.25,40.00
1124.00,389.00,-71.63,21.00
2474.00,368.00,-74.05,37.00
3217.00,417.00,-75.64,68.00
3600.00,1755.00,-67.30,69.00
675.00,540.00,-73.58,44.00
1259.00,379.00,-78.01,35.00
3423.00,874.00,-70.74,81.00
3692.00,2820.00,-73.92,43.00
3734.00,1000.00,-64.76,83.00
3225.00,661.00,-74.89,70.00
3690.00,1485.00,-61.21,51.00
3052.00,652.00,-71.35,62.00
1481.00,706.00,-73.22,50.00
2475.00,405.00,-73.11,35.00
1082.00,909.00,-71.05,36.00
1709.00,694.00,-73.79,44.00
2092.00,699.00,-69.37,79.00
3705.00,1215.00,-65.64,79.00
3104.00,653.00,-69.45,54.00
2013.00,855.00,-75.13,57.00
3690.00,1620.00,-67.84,60.00
2299.00,734.00,-70.36,60.00
2903.00,769.00,-76.95,48.00
2474.00,741.00,-72.07,56.00
3705.00,1126.00,-65.75,86.00
3687.00,1662.00,-66.77,61.00
1928.00,316.00,-76.24,59.00
3237.00,886.00,-61.97,59.00
667.00,719.00,-74.30,32.00
3189.00,587.00,-76.49,76.00
2205.00,405.00,-80.32,30.00
3510.00,1035.00,-67.96,71.00
1928.00,360.00,-76.83,52.00
2834.00,873.00,-74.53,81.00
3060.00,495.00,-77.89,44.00
2295.00,900.00,-73.81,37.00
1349.00,759.00,-74.28,55.00
990.00,739.00,-78.27,48.00
2518.00,369.00,-75.15,40.00
1036.00,659.00,-80.71,41.00
3555.00,2610.00,-69.02,69.00
3555.00,2160.00,-70.09,50.00
3555.00,2340.00,-70.25,62.00
3706.00,1260.00,-61.71,66.00
1800.00,900.00,-76.01,42.00
1124.00,659.00,-77.48,43.00
2025.00,450.00,-76.55,40.00
2708.00,481.00,-74.55,39.00
2792.00,480.00,-77.89,41.00
3645.00,1665.00,-66.82,64.00
3736.00,962.00,-63.44,83.00
1227.00,462.00,-82.46,17.00
3158.00,710.00,-67.64,70.00
1608.00,453.00,-80.86,38.00
3690.00,1980.00,-67.20,76.00
2341.00,659.00,-69.55,57.00
3133.00,801.00,-68.71,52.00
2403.00,381.00,-76.81,40.00
903.00,668.00,-75.32,33.00
623.00,581.00,-75.86,49.00
